web-scraper-order,web-scraper-start-url,Pagination,Restoran Adı,Yorum Sayısı,Puan,Restoran Türü,Link,Link-href,Pagination2,Yorumlar
"1720074106-1","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","23 Nisan günü ailemle bir yemek yiyelim diye gittik gitmek olaydık. Yoğunluğu bir yere kadar anlayabiliyorum ama tam bir rezillik. Garson siparişlerimizi yarım saatte biz birkaç kere çağırdıktan sonra aldı. Sonrasında bir saat de sipariş için bekledik yine gelmedi bu arada boşalan masaların tabakları toplanmadı. Ne yeni sipariş geliyor ne de boşlar toplanıyor. 1 saatin sonunda kalktık yemeden."
"1720074106-2","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","yemek sipariş verdikten bir dakika sonra geldi, buz gibiydi hazır geldiği zaten belliydi. ne et tadı vardı ne de kokusu, zorla yedik. yanında meze salaya namına hiçbir şey yoktu. et oranı o kadar azdı ki tabak full pide doluydu. pideler ıslanmaktan mahvolmuş lapa kıvamına gelmişti. hiç beğenmedim yediğim en kötü etti. şu da iyiydi demek isterdim ama maalesef iyi birr sey yoktu."
"1720074106-3","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Uzun zamandirgittigim restoran maalesef çok kötüydü bugün. Bunu şef garson Ahmet Atalay'ın izinli olmasına bağladım. Sadece 3 müşteri vardı benimle 4 oldu bi süre bekledikten sonra ortalıkta boş boş dolaşan garsonlar nihayet siparişi aldı. Sonra 3 kişinin siparişi geldi,bende bekliyorum ki gelecek ama yok. Bununla kalsa iyi salata yok dediler. Malz yokmuş. Sonra kasaya şikayet için gittiğimde malz nin olduğu anlaşıldı. Komi ben yapayım abi deyince ve ardından siparişimin de verilmediğini görünce hadi eyvallah dedim. (Bu arada son 4 ,5 gidisimde üzüm şırasi yok)Ama hemen yanında ki usta döneri keşfettim. Süperdi."
"1720074106-4","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Restorantınızda ailemle birlikte iftar için gelip iskender yedik ama lezzet konusunda sıfırdı.Sosu yoktu tereyağ desen oda doğru düzgün yoktu.Masada ne peçete nede bıçak vardı.Eti resmen zorla kestik.Ailemle güzel bir iftar yapma hayaliyle gelmiştim fakat beklediğim gibi olmadı.Gercekten düzeltmeyecekseniz kendinizi kapatın bence o restorantı!"
"1720074106-5","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","3 gün önce iftar için İskenderinizi tercih ettik keskede tercih etmeseydik.Cok pişman olduk.İskenderde sos çok az tereyağ adında hiçbir şey yoktu.Servisiniz berbattı masalarda peçete ve bıçak yoktu.Eti keserken çok aşırı zorlandık.450₺ da para verdik ama kesinlikle parasına değmez.Asla bir daha tercihim olmayacaksınız.Tek kelimeyle pismanlıksınız!"
"1720074106-6","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Servis hizmet davranış herşey berbat. Böyle hizmet olmaz olsun. Lanet olsun sizin hizmetinize yapacağınız işe. Gitmeyin 5 kuruş etmez işyeride çalışanlarıda lefleride."
"1720074106-7","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Ya arkadaşım hem davet ediyorsun dışarda yürürken davet ediyorsun bir de ya tavuk dönercimisin sen neden yoldan çeviriyorsun beni böyle saçma bir yer daha görmedim ciddi söylüyorum neyse yiyelim dedik adam dönüp bakmadı ya nasıl Bi garson nasıl iş nasıl yemek aklım ermiyor biran önce kapatılmalı aç kal daha iyi paranla rezil ol 4 kişi iskender söyledik insan ortaya Bi salata yada patates getirir sadece biber turşusunu koydu gitti dönüp yüzümüze bakmadı ya böyle sorumsuz bir yer olamaz bence kapatılmalı"
"1720074106-8","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Personel dikkatsiz. Pecete bile koymamışlar. Tereyağ cok gec geldi. Patates kızartması yağda yüzüyordu. Keşke daha özenli çalışsalarmış."
"1720074106-9","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","İftarımızı orada yapalım dedik iftar paketi verelim dediler tamam dedik sonra 4 tane iftariyelik eksik geldi kusura bakmayın kalmamış diyorlar bi de  yemedigimiz şeyin parasını istiyorlar bir daha kesinlikle tercih etmiyorum paranla kaziklaniyorsun"
"1720074106-10","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Açma içinde sıradan bi restoran tarzında çokta bişey beklemeyin.bursa kebabı da iskenderin birebir aynısı."
"1720074106-11","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Çok basit bir döner durumu bile yarım saatte getiren yavaş ve dikkatsiz personel yapısı mevcut... özür dileme ve nezaket sanırım bunlara hiç rastlamamis... müşteriye önem değil para gözü ile baktıklarını sanıyorum.  Selpak istediğimde hesabı getirene mi yanarsiniz yoksa etrafa boş boş bakana bilemem. Bence burası yetersiz ve bu şekilde yetersiz olan bir yerin yemek kalitesinin de ne kadar olacağını siz düşünün artık. .."
"1720074106-12","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Osmaniye de İskender kültürü fazla olmadığı için tercih edilecekse buranın en başarılı yer olduğunu söyleyebilirim.  Yalnız salata menüsü lezzetsiz. Mekanın içinde yiyorsaniz hizmet iyi ama avm içinde başka masalarda yiyeceksiniz sizi unutup bekletebilirler."
"1720074106-13","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Osmaniye'de yiyebileceğiniz en iyi iskender kebaplardan biri. Personeli ilgili ve alakalı. Lezzet güzel. İskenderin yanında ikram edilen mezeler ve çeşitler de çok iyi. Gördüğüm tek kusur sandalyelerinin biraz kirli olması. Umarım kısa süre içinde konsept değişikliğine gidilir. 😊"
"1720074106-14","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","En son bu hafta gittim..guleryuzlu personeli ve nefis yemekleri var..bursa kebabı ve İskenderi çok iyi..şirasi mükemmel.mutlaka deneyin"
"1720074106-15","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa0-Osmaniye_Province.html","https://www.tripadvisor.com.tr/Restaurants-g2186714-oa30-Osmaniye_Province.html","35. Bursa Kebap Evi","27 yorum","5 baloncuk üzerinden 2,5","Türk","5 baloncuk üzerinden 2,527 yorum","https://www.tripadvisor.com.tr/Restaurant_Review-g2308958-d3642832-Reviews-Bursa_Kebap_Evi-Osmaniye_Osmaniye_Province.html#REVIEWS","","Kuzenlerle iftar yapmak icin uygun bir yer. 30 tl ye icinde tatlisi corbasi olan iftar menusunu secebilirsiniz. 
Iftar icin onceden yer ayirtmayin cunku son dk kadar yer bulursunuz. Ancak servis kotu. Tam zamaninda hersey hazir olmuyor. Daha profesyonel olmalilar. 
Iskenderin domates sosu biraz az tereyagi daha fazla olabilir."
